Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Broadhurst N.A.","57191120112;","A study of selected learning outcomes of graduating high school students in South Australian schools",1970,"Science Education","54","1",,"17","21",,6,"10.1002/sce.3730540106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954600864&doi=10.1002%2fsce.3730540106&partnerID=40&md5=d1350d243a2aa236d37cdd62719a55a2","Bedford Park Teachers College, Bedford Park, South Australia, 5042, Australia","Broadhurst, N.A., Bedford Park Teachers College, Bedford Park, South Australia, 5042, Australia",[No abstract available],,,,"Broadhurst, N.A.; Bedford Park Teachers College, Bedford Park, South Australia, 5042, Australia",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84954600864
"Kuhn D.J.","57191119563;","The biomethods class: Putting theory into practice",1970,"Science Education","54","4",,"335","343",,,"10.1002/sce.3730540407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987186169&doi=10.1002%2fsce.3730540407&partnerID=40&md5=ddfa32414e40a708988e52a45b6fbb0b","Mankato State College, Mankato, Minnesota, 56001, United States","Kuhn, D.J., Mankato State College, Mankato, Minnesota, 56001, United States",[No abstract available],,,,"Kuhn, D.J.; Mankato State College, Mankato, Minnesota, 56001, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987186169
"Stauss N.G.","57190098693;","Testing and evaluating in science in the elementary school",1970,"Science Education","54","3",,"247","252",,1,"10.1002/sce.3730540312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987189208&doi=10.1002%2fsce.3730540312&partnerID=40&md5=10752edbe4cb692de50b277d68804371","University of Georgia, Athens, Georgia, 30601, United States","Stauss, N.G., University of Georgia, Athens, Georgia, 30601, United States",[No abstract available],,,,"Stauss, N.G.; University of Georgia, Athens, Georgia, 30601, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987189208
"Punke H.H.","56977715900;","Moral neutrality of science: Fact or myth",1970,"Science Education","54","3",,"229","231",,,"10.1002/sce.3730540307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987226551&doi=10.1002%2fsce.3730540307&partnerID=40&md5=5057a668babba94860cd92b5800b6a9d","Auburn University, =, Auburn, Alabama, 36830, United States","Punke, H.H., Auburn University, =, Auburn, Alabama, 36830, United States",[No abstract available],,,,"Punke, H.H.; Auburn University, =, Auburn, Alabama, 36830, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987226551
"Newport J.F.","57190359646;","Should teachers be expected to develop curriculum materials?",1970,"Science Education","54","3",,"243","245",,,"10.1002/sce.3730540311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987231354&doi=10.1002%2fsce.3730540311&partnerID=40&md5=07a8e16179165cad308adf75ceb38be0","Southwest Missouri State College, Springfield, Missouri, 65802, United States","Newport, J.F., Southwest Missouri State College, Springfield, Missouri, 65802, United States",[No abstract available],,,,"Newport, J.F.; Southwest Missouri State College, Springfield, Missouri, 65802, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987231354
"McAda H.W., Westmeyer P.","57190098120;16046061100;","Description of a curriculum development project for college instruction in science",1970,"Science Education","54","2",,"109","113",,,"10.1002/sce.3730540204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987223502&doi=10.1002%2fsce.3730540204&partnerID=40&md5=c06942ea4f2b18e164063f3964734ad5","The University of California, Santa Barbara, California, 93106, United States; Florida State University, Tallahassee, Florida, 32306, United States","McAda, H.W., The University of California, Santa Barbara, California, 93106, United States; Westmeyer, P., Florida State University, Tallahassee, Florida, 32306, United States",[No abstract available],,,,"McAda, H.W.; The University of California, Santa Barbara, California, 93106, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987223502
"Jones P.L., Blankenship J.W.","57191120005;57190901420;","A correlation of biology teachers' pupil control ideology and their class‐room teaching practices",1970,"Science Education","54","3",,"263","265",,7,"10.1002/sce.3730540314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987216261&doi=10.1002%2fsce.3730540314&partnerID=40&md5=dda2d52431ff69e0c51ff7520e5c29a9","Memphis State University, Memphis, Tennessee, 38111, United States; University of Houston, Houston, Texas, 77004, United States","Jones, P.L., Memphis State University, Memphis, Tennessee, 38111, United States; Blankenship, J.W., University of Houston, Houston, Texas, 77004, United States",[No abstract available],,,,"Jones, P.L.; Memphis State University, Memphis, Tennessee, 38111, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987216261
"Qutub M.Y.","57191119558;","Why teach earth science in Jordan?",1970,"Science Education","54","4",,"305","308",,,"10.1002/sce.3730540402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987216704&doi=10.1002%2fsce.3730540402&partnerID=40&md5=2d8bf2d0c277c7018239bf6ad221e708","Northeastern Illinois State College, United States","Qutub, M.Y., Northeastern Illinois State College, United States",[No abstract available],,,,"Qutub, M.Y.; Northeastern Illinois State CollegeUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987216704
"Sutman F.X.","14042797100;","Subjective evaluation of the AYI institutes at Temple University: A three year overview",1970,"Science Education","54","2",,"155","156",,,"10.1002/sce.3730540213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987187779&doi=10.1002%2fsce.3730540213&partnerID=40&md5=177717d5a93724345f6159bc7dc43286","Temple University, Philadelphia, Pennsylvania, 19122, United States","Sutman, F.X., Temple University, Philadelphia, Pennsylvania, 19122, United States",[No abstract available],,,,"Sutman, F.X.; Temple University, Philadelphia, Pennsylvania, 19122, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987187779
"Hardy C.A.","57010833000;","CHEM study and traditional chemistry: An experimental analysis",1970,"Science Education","54","3",,"273","276",,5,"10.1002/sce.3730540316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987166857&doi=10.1002%2fsce.3730540316&partnerID=40&md5=dcb1c15fe1201232c8d732effaf5a19c","North Texas State University, Denton, Texas, 76203, United States","Hardy, C.A., North Texas State University, Denton, Texas, 76203, United States",[No abstract available],,,,"Hardy, C.A.; North Texas State University, Denton, Texas, 76203, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987166857
"Stuck G.B., Wyne M.D.","6603256006;6507103902;","How children learn the concept of weight: S‐R training vs. equilibration training",1970,"Science Education","54","4",,"373","378",,1,"10.1002/sce.3730540412","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987172459&doi=10.1002%2fsce.3730540412&partnerID=40&md5=8875a20e1843411d78774c72cac7984e","University of North Carolina, Chapel Hill, North Carolina, 27514, United States","Stuck, G.B., University of North Carolina, Chapel Hill, North Carolina, 27514, United States; Wyne, M.D., University of North Carolina, Chapel Hill, North Carolina, 27514, United States",[No abstract available],,,,"Stuck, G.B.; University of North Carolina, Chapel Hill, North Carolina, 27514, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987172459
"Lunetta V.N., Dyrli O.E.","6508129835;57032974700;","Computers in the science curriculum—some concrete applications in the physical sciences",1970,"Science Education","54","2",,"147","154",,1,"10.1002/sce.3730540212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987197531&doi=10.1002%2fsce.3730540212&partnerID=40&md5=d35c3e5418d4b0ea4d87c168ccede809","Science Department, Enfield High School, Enfield, Connecticut, United States; Science Education, University of Connecticut, Storrs, Connecticut, United States","Lunetta, V.N., Science Department, Enfield High School, Enfield, Connecticut, United States; Dyrli, O.E., Science Education, University of Connecticut, Storrs, Connecticut, United States",[No abstract available],,,,"Lunetta, V.N.; Science Department, Enfield High School, Enfield, Connecticut, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987197531
"Henson K.T.","57005252500;","Contributions of science principles to teaching — the history and status of the science principle",1970,"Science Education","54","4",,"317","318",,1,"10.1002/sce.3730540404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987255110&doi=10.1002%2fsce.3730540404&partnerID=40&md5=9858cc3f7be32a30d24d752490a052de","Indiana State University, Terre Haute, Indiana, 47809, United States","Henson, K.T., Indiana State University, Terre Haute, Indiana, 47809, United States",[No abstract available],,,,"Henson, K.T.; Indiana State University, Terre Haute, Indiana, 47809, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987255110
"Kuhn D.J.","57191119563;","Behavioral objectives in the life sciences: A useful instrument in curriculum development",1970,"Science Education","54","2",,"123","126",,2,"10.1002/sce.3730540207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987248175&doi=10.1002%2fsce.3730540207&partnerID=40&md5=09a82173f2dde6f2c063bd082912214a","Biology Department, Mankato State College, Mankato, Minnesota, 56001, United States","Kuhn, D.J., Biology Department, Mankato State College, Mankato, Minnesota, 56001, United States",[No abstract available],,,,"Kuhn, D.J.; Biology Department, Mankato State College, Mankato, Minnesota, 56001, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987248175
"Dence J.B.","16036989900;","The mathematics needed in Freshman college chemistry",1970,"Science Education","54","3",,"287","290",,1,"10.1002/sce.3730540319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987224417&doi=10.1002%2fsce.3730540319&partnerID=40&md5=ea3c349200ad6fcfb2f7cd3d2c7f663b","Department of Chemistry, Florida State University, Tallahassee, Florida, 32306, United States","Dence, J.B., Department of Chemistry, Florida State University, Tallahassee, Florida, 32306, United States",[No abstract available],,,,"Dence, J.B.; Department of Chemistry, Florida State University, Tallahassee, Florida, 32306, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987224417
"Wolfe D.P.","57191120838;","Trends in science education",1970,"Science Education","54","1",,"71","75",,1,"10.1002/sce.3730540117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987195871&doi=10.1002%2fsce.3730540117&partnerID=40&md5=9a3d03a7ed4c6bd1396b83f677f32755","Queens College of the City of New York, Flushing, New York, 11365, United States","Wolfe, D.P., Queens College of the City of New York, Flushing, New York, 11365, United States",[No abstract available],,,,"Wolfe, D.P.; Queens College of the City of New York, Flushing, New York, 11365, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987195871
"Peiper J.W., Sutman F.X.","57191121993;14042797100;","A brief historical analysis of the demonstration in the teaching of biology",1970,"Science Education","54","1",,"83","86",,1,"10.1002/sce.3730540119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987245537&doi=10.1002%2fsce.3730540119&partnerID=40&md5=75996ccc4ad88394688330ab51447bba","Temple University, Philadelphia, Pennsylvania, 19122, United States","Peiper, J.W., Temple University, Philadelphia, Pennsylvania, 19122, United States; Sutman, F.X., Temple University, Philadelphia, Pennsylvania, 19122, United States",[No abstract available],,,,"Peiper, J.W.; Temple University, Philadelphia, Pennsylvania, 19122, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987245537
"Boulos S.I.","57190354189;","Proposal for an experiment in training elementary teachers",1970,"Science Education","54","2",,"203","207",,1,"10.1002/sce.3730540222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987251962&doi=10.1002%2fsce.3730540222&partnerID=40&md5=5ca319972ba812346f670b67bf1e1c3f","Department of Elementary Education, State University College, New Paltz, New York, United States","Boulos, S.I., Department of Elementary Education, State University College, New Paltz, New York, United States",[No abstract available],,,,"Boulos, S.I.; Department of Elementary Education, State University College, New Paltz, New York, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987251962
"Becht P.A.","6507144189;","Innovations in a summer institute for junior high school physics teachers",1970,"Science Education","54","3",,"277","279",,,"10.1002/sce.3730540317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987197523&doi=10.1002%2fsce.3730540317&partnerID=40&md5=00679a73db3d27d6aac9a48d7467e322","University of Florida, Gainsville, Florida, 32601, United States","Becht, P.A., University of Florida, Gainsville, Florida, 32601, United States",[No abstract available],,,,"Becht, P.A.; University of Florida, Gainsville, Florida, 32601, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987197523
"Stronck D.R.","6506517524;","Catholic science textbooks",1970,"Science Education","54","3",,"217","218",,,"10.1002/sce.3730540304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987172464&doi=10.1002%2fsce.3730540304&partnerID=40&md5=a7da93f8b731cf4f69837dc9e491d40c","Science Education Center, The University of Texas, Austin, Texas, 78712, United States","Stronck, D.R., Science Education Center, The University of Texas, Austin, Texas, 78712, United States",[No abstract available],,,,"Stronck, D.R.; Science Education Center, The University of Texas, Austin, Texas, 78712, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987172464
"Kellough R.D.","57190099523;","The humanistic approach: An experiment in the teaching of biology to slow learners in high school—an experiment in class‐room experimentation",1970,"Science Education","54","3",,"253","262",,2,"10.1002/sce.3730540313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987203075&doi=10.1002%2fsce.3730540313&partnerID=40&md5=452b07edffe09a5312526ce6bd568fcf","School of Education, Sacramento State College, Sacramento, California, 95819, United States","Kellough, R.D., School of Education, Sacramento State College, Sacramento, California, 95819, United States",[No abstract available],,,,"Kellough, R.D.; School of Education, Sacramento State College, Sacramento, California, 95819, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987203075
"Montean J.J.","57189286602;","The role of the science supervisor in the teacher education process",1970,"Science Education","54","3",,"295","298",,,"10.1002/sce.3730540321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987238886&doi=10.1002%2fsce.3730540321&partnerID=40&md5=1251b14296808078c391fd8eb6112a69","The University of Rochester, United States","Montean, J.J., The University of Rochester, United States",[No abstract available],,,,"Montean, J.J.; The University of RochesterUnited States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987238886
"Emmel T.C., Sligh M.M.","6603017771;57191121140;","Human population problems",1970,"Science Education","54","4",,"363","372",,,"10.1002/sce.3730540411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987229181&doi=10.1002%2fsce.3730540411&partnerID=40&md5=14e93bba41b3622f51cd5fa859d08ad5","University of Florida, Gainesville, Florida, 32601, United States","Emmel, T.C., University of Florida, Gainesville, Florida, 32601, United States; Sligh, M.M., University of Florida, Gainesville, Florida, 32601, United States",[No abstract available],,,,"Emmel, T.C.; University of Florida, Gainesville, Florida, 32601, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987229181
"Charen G.","57190097426;","Do laboratory methods stimulate critical thinking?",1970,"Science Education","54","3",,"267","271",,9,"10.1002/sce.3730540315","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987253919&doi=10.1002%2fsce.3730540315&partnerID=40&md5=e07818c3f296b4216ae8c12ce3f921ba","Bergen Community College, Paramus, New Jersey, 07652, United States","Charen, G., Bergen Community College, Paramus, New Jersey, 07652, United States",[No abstract available],,,,"Charen, G.; Bergen Community College, Paramus, New Jersey, 07652, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987253919
"Vannan D.A.","57190098497;","How to obtain an elementary science consultant for your school",1970,"Science Education","54","2",,"141","142",,,"10.1002/sce.3730540210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987210365&doi=10.1002%2fsce.3730540210&partnerID=40&md5=6464b356cb248167b1f604e556acb294","State College, Bloomsburg, Pennsylvania, 17815, United States","Vannan, D.A., State College, Bloomsburg, Pennsylvania, 17815, United States",[No abstract available],,,,"Vannan, D.A.; State College, Bloomsburg, Pennsylvania, 17815, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987210365
"Weaver A.M., III","57191122242;","The forgotten majority: Science curriculum",1970,"Science Education","54","1",,"5","8",,,"10.1002/sce.3730540103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987248079&doi=10.1002%2fsce.3730540103&partnerID=40&md5=bdb9202bb1d9a113b0c3ba1cf29451c4","Science Department, Western Junior High School, Greenwich, Connecticut, 06830, United States","Weaver, A.M., III, Science Department, Western Junior High School, Greenwich, Connecticut, 06830, United States",[No abstract available],,,,"Weaver, A.M.; Science Department, Western Junior High School, Greenwich, Connecticut, 06830, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987248079
"Boulos S.","57190354189;","A strategy for science education courses",1970,"Science Education","54","2",,"143","145",,1,"10.1002/sce.3730540211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987199062&doi=10.1002%2fsce.3730540211&partnerID=40&md5=71ce4ccc92d335701566505bd51dd522","State University of New York, College at New Paltz, New York, 12561, United States","Boulos, S., State University of New York, College at New Paltz, New York, 12561, United States",[No abstract available],,,,"Boulos, S.; State University of New York, College at New Paltz, New York, 12561, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987199062
"Holler J.C.","57191120647;","Effective education through state councils of conservation education",1970,"Science Education","54","4",,"359","362",,,"10.1002/sce.3730540410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987255139&doi=10.1002%2fsce.3730540410&partnerID=40&md5=ac247314f87ab1a9f6eb38e6a88ca2f1","State Department of Education, Columbia, South Carolina, United States","Holler, J.C., State Department of Education, Columbia, South Carolina, United States",[No abstract available],,,,"Holler, J.C.; State Department of Education, Columbia, South Carolina, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987255139
"Murphy G.W.","57190096928;","Content centered vs. process centered biology laboratories part IV: The relationship of high school achievement to success",1970,"Science Education","54","1",,"41","44",,,"10.1002/sce.3730540111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987199986&doi=10.1002%2fsce.3730540111&partnerID=40&md5=1ee183b59683f98ee559614b3f8b9183","General Science and Education, Portland State University, Portland, Oregon, 97207, United States","Murphy, G.W., General Science and Education, Portland State University, Portland, Oregon, 97207, United States",[No abstract available],,,,"Murphy, G.W.; General Science and Education, Portland State University, Portland, Oregon, 97207, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987199986
"Davison J.","57046279300;","Team teaching with an accent on science",1970,"Science Education","54","2",,"163","171",,,"10.1002/sce.3730540215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987204934&doi=10.1002%2fsce.3730540215&partnerID=40&md5=d678b3f5a0a26f20e74db34acd3237d3","Oak Park and River Forest High School, Oak Park, Illinois, 60302, United States","Davison, J., Oak Park and River Forest High School, Oak Park, Illinois, 60302, United States",[No abstract available],,,,"Davison, J.; Oak Park and River Forest High School, Oak Park, Illinois, 60302, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987204934
"Fontaine T.D.","57191121731;","Federal programs for the improvement of school science and mathematics",1970,"Science Education","54","3",,"209","212",,1,"10.1002/sce.3730540302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987168409&doi=10.1002%2fsce.3730540302&partnerID=40&md5=92477ac79d278d83fb1b805c77d48015","National Science Foundation, Washington, District of Columbia, 20550, United States","Fontaine, T.D., National Science Foundation, Washington, District of Columbia, 20550, United States",[No abstract available],,,,"Fontaine, T.D.; National Science Foundation, Washington, District of Columbia, 20550, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987168409
"Shattuck J.B.","57191121631;","Using the sciences for value clarification",1970,"Science Education","54","1",,"9","11",,1,"10.1002/sce.3730540104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987210850&doi=10.1002%2fsce.3730540104&partnerID=40&md5=0611ca5263dd60d2049c4b89f79ac055","Michigan State University, 1442D Spartan Village, East Lansing, Michigan, 48823, United States","Shattuck, J.B., Michigan State University, 1442D Spartan Village, East Lansing, Michigan, 48823, United States",[No abstract available],,,,"Shattuck, J.B.; Michigan State University, 1442D Spartan Village, East Lansing, Michigan, 48823, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987210850
"Webster J.W.","57191121945;","A science program for the disadvantaged child",1970,"Science Education","54","1",,"49","53",,,"10.1002/sce.3730540113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987167481&doi=10.1002%2fsce.3730540113&partnerID=40&md5=7e363f8759a4189b5786981baacc3431","Rose School, 5505 Van Dyke, Detroit, Michigan, 48202, United States","Webster, J.W., Rose School, 5505 Van Dyke, Detroit, Michigan, 48202, United States",[No abstract available],,,,"Webster, J.W.; Rose School, 5505 Van Dyke, Detroit, Michigan, 48202, United States",,,00368326,,,,"English","Sci. Educ.",Article,,Scopus,2-s2.0-84987167481
